;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
131;1_02_132_l-20_l-20_l-20_d-0.2;{'name': '02_132_l-20_l-20_l-20_d-0.2', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.426856843;0;0.409580147;0;0.253957786;0;0.401539123;0;0;0;0;Nov 30;8;(18240, [1], 44);400.9910266;0;2017-02-01 00:00:00+01:00
132;1_02_133_l-20_l-50;{'name': '02_133_l-20_l-50', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.355658507;0;0.347960505;0;0.205228692;0;0.374515206;0;0;0;0;17/30;8;(18240, [1], 44);479.4266577;0;2017-02-01 00:00:00+01:00
133;1_02_134_l-20_l-50_d-0.1;{'name': '02_134_l-20_l-50_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.404924486;0;0.388327725;0;0.16549323;0;0.318731018;0;0;0;0;14/30;8;(18240, [1], 44);348.7263064;0;2017-02-01 00:00:00+01:00
134;1_02_135_l-20_l-50_d-0.2;{'name': '02_135_l-20_l-50_d-0.2', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.416072264;0;0.393327477;0;0.151529091;0;0.307915799;0;0;0;0;13/30;8;(18240, [1], 44);376.7719743;0;2017-02-01 00:00:00+01:00
135;1_02_136_l-20_l-50_l-10;{'name': '02_136_l-20_l-50_l-10', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.43110255;0;0.410298207;0;0.317342333;0;0.47022627;0;0;0;0;Jun 30;8;(18240, [1], 44);291.4357657;0;2017-02-01 00:00:00+01:00
136;1_02_137_l-20_l-50_l-10_d-0.1;{'name': '02_137_l-20_l-50_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.452724391;0;0.435957966;0;0.249090911;0;0.397083445;0;0;0;0;Jun 30;8;(18240, [1], 44);300.313772;0;2017-02-01 00:00:00+01:00
137;1_02_138_l-20_l-50_l-10_d-0.2;{'name': '02_138_l-20_l-50_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.435498921;0;0.417176111;0;0.191518664;0;0.355724908;0;0;0;0;14/30;8;(18240, [1], 44);568.2581894;0;2017-02-01 00:00:00+01:00
138;1_02_139_l-20_l-50_l-15;{'name': '02_139_l-20_l-50_l-15', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.39960924;0;0.383901539;0;0.337345577;0;0.476500108;0;0;0;0;Jul 30;8;(18240, [1], 44);325.6084034;0;2017-02-01 00:00:00+01:00
139;1_02_140_l-20_l-50_l-15_d-0.1;{'name': '02_140_l-20_l-50_l-15_d-0.1', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.449390734;0;0.427014565;0;0.262312946;0;0.421551027;0;0;0;0;Aug 30;8;(18240, [1], 44);367.9359467;0;2017-02-01 00:00:00+01:00
140;1_02_141_l-20_l-50_l-15_d-0.2;{'name': '02_141_l-20_l-50_l-15_d-0.2', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.454823219;0;0.434010097;0;0.273877546;0;0.429934936;0;0;0;0;Nov 30;8;(18240, [1], 44);377.1335185;0;2017-02-01 00:00:00+01:00
141;1_02_142_l-20_l-50_l-20;{'name': '02_142_l-20_l-50_l-20', 'layers': [{'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.401172129;0;0.383538518;0;0.280337997;0;0.444495159;0;0;0;0;Aug 30;8;(18240, [1], 44);354.9969933;0;2017-02-01 00:00:00+01:00
