;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;model2_1_l-10;{'name': 'model2_1_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5463531917981039;0.0;0.4624201591703373;0.0;0.1369810502810201;0.0;0.28719134436975613;0.0;0.0;0.0;0.0;6/50;16.0;(16184, [1], 1);9.734503984451294;0.0;[0.8]
1;model2_2_l-10;{'name': 'model2_2_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.0;0.5818035745956373;0.0;0.48452741756002504;0.0;0.1490228608250618;0.0;0.29686897903680803;0.0;0.0;0.0;0.0;7/50;64.0;(16184, [1], 1);4.298712968826294;0.0;[0.8]
2;model2_3_l-10_d-0.1;{'name': 'model2_3_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.5699451564481927;0.0;0.47855744696002367;0.0;0.13790078367115838;0.0;0.2871075168915904;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 1);10.896768569946289;0.0;[0.8]
3;model2_4_l-10_d-0.1;{'name': 'model2_4_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.1;0.607451869128733;0.0;0.5056636958281593;0.0;0.15036692038178445;0.0;0.2994168469309807;0.0;0.0;0.0;0.0;7/50;64.0;(16184, [1], 1);5.4352898597717285;0.0;[0.8]
4;model2_5_l-10_d-0.2;{'name': 'model2_5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.5900454327420358;0.0;0.49193976921741983;0.0;0.13909244326192258;0.0;0.28871053667499286;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 1);13.25679874420166;0.0;[0.8]
5;model2_6_l-10_d-0.2;{'name': 'model2_6_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.2;0.6107756743152247;0.0;0.5092166198214682;0.0;0.15011109761893748;0.0;0.2983796328306198;0.0;0.0;0.0;0.0;8/50;64.0;(16184, [1], 1);5.805481672286987;0.0;[0.8]
6;model2_7_l-10_l-10;{'name': 'model2_7_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5506810617652734;0.0;0.47179530826207294;0.0;0.13769659597316;0.0;0.28718509665220093;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 1);17.3613383769989;0.0;[0.8]
7;model2_8_l-10_l-10;{'name': 'model2_8_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.0;0.6179898801158266;0.0;0.5115442295180689;0.0;0.15534476861357688;0.0;0.3068262976408005;0.0;0.0;0.0;0.0;7/50;64.0;(16184, [1], 1);8.495568037033081;0.0;[0.8]
8;model2_9_l-10_l-10_d-0.1;{'name': 'model2_9_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.6184771749097738;0.0;0.5162114487185024;0.0;0.15655845804324392;0.0;0.30811243681329314;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 1);21.438021898269653;0.0;[0.8]
9;model2_10_l-10_l-10_d-0.1;{'name': 'model2_10_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.1;0.6337176788561415;0.0;0.5184126320746866;0.0;0.14548061698675155;0.0;0.2952208778262138;0.0;0.0;0.0;0.0;6/50;64.0;(16184, [1], 1);8.65833306312561;0.0;[0.8]
10;model2_11_l-10_l-10_d-0.2;{'name': 'model2_11_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.6301204843771251;0.0;0.5272413748414319;0.0;0.15252750893446185;0.0;0.30474218858940766;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 1);19.094887256622314;0.0;[0.8]
11;model2_12_l-10_l-10_d-0.2;{'name': 'model2_12_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.2;0.6773737003971444;0.0;0.554115534197576;0.0;0.1661869305372238;0.0;0.31877166211605074;0.0;0.0;0.0;0.0;8/50;64.0;(16184, [1], 1);9.785113334655762;0.0;[0.8]
12;model2_13_l-10_l-20;{'name': 'model2_13_l-10_l-20', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5688686621863491;0.0;0.4820647275142086;0.0;0.1414362128482818;0.0;0.29279721779103324;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 1);18.228412628173828;0.0;[0.8]
13;model2_14_l-10_l-20;{'name': 'model2_14_l-10_l-20', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.0;0.6181567422861215;0.0;0.5095883686058592;0.0;0.13940797850489617;0.0;0.2885103765130043;0.0;0.0;0.0;0.0;6/50;64.0;(16184, [1], 1);8.29441213607788;0.0;[0.8]
14;model2_15_l-10_l-20_d-0.1;{'name': 'model2_15_l-10_l-20_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.5719832643056093;0.0;0.4835995964254673;0.0;0.14300971321927586;0.0;0.29462816599424524;0.0;0.0;0.0;0.0;5/50;16.0;(16184, [1], 1);19.46336269378662;0.0;[0.8]
15;model2_16_l-10_l-20_d-0.1;{'name': 'model2_16_l-10_l-20_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.1;0.6459182779682745;0.0;0.5248218653815808;0.0;0.13857893213629724;0.0;0.2872192397713661;0.0;0.0;0.0;0.0;5/50;64.0;(16184, [1], 1);8.942996978759766;0.0;[0.8]
16;model2_17_l-10_l-20_d-0.2;{'name': 'model2_17_l-10_l-20_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.5953441732165914;0.0;0.49943986124323386;0.0;0.1352838989771386;0.0;0.2856213295518762;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 1);19.069247007369995;0.0;[0.8]
17;model2_18_l-10_l-20_d-0.2;{'name': 'model2_18_l-10_l-20_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.2;0.629825638957543;0.0;0.5186445547064932;0.0;0.140938805565238;0.0;0.2894768986105919;0.0;0.0;0.0;0.0;5/50;64.0;(16184, [1], 1);8.715931415557861;0.0;[0.8]
18;model2_19_l-10_l-10;{'name': 'model2_19_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5668123107874359;0.0;0.48169721769829765;0.0;0.14509780099154404;0.0;0.29751059383448986;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 1);17.842872619628906;0.0;[0.8]
19;model2_20_l-10_l-10;{'name': 'model2_20_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.0;0.6131348913848991;0.0;0.5001379947113519;0.0;0.14047466970980169;0.0;0.29091123163700106;0.0;0.0;0.0;0.0;6/50;64.0;(16184, [1], 1);8.319126605987549;0.0;[0.8]
20;model2_21_l-10_l-10_d-0.1;{'name': 'model2_21_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.5952681965955587;0.0;0.5034935718911098;0.0;0.15325153448001141;0.0;0.3049232071947933;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 1);18.528690338134766;0.0;[0.8]
21;model2_22_l-10_l-10_d-0.1;{'name': 'model2_22_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 64, 'timesteps': 1};0.1;0.65197564399626;0.0;0.5287942309485804;0.0;0.15468711607158184;0.0;0.30780684858560564;0.0;0.0;0.0;0.0;6/50;64.0;(16184, [1], 1);9.35534119606018;0.0;[0.8]
22;model2_23_l-10_l-10_d-0.2;{'name': 'model2_23_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.6014371206235642;0.0;0.5024569418525372;0.0;0.14420312025243104;0.0;0.2950367448058459;0.0;0.0;0.0;0.0;6/50;16.0;(16184, [1], 1);18.746304273605347;0.0;[0.8]
