;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;1_03_1_l-5;{'name': '03_1_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.728804411;0;0.602630407;0;0.439721001;0;0.535758528;0;0;0;0;Okt 30;8;(18240, [1], 32);155.4412594;0;2017-02-01 00:00:00+01:00
1;1_03_2_l-5_d-0.1;{'name': '03_2_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.791135266;0;0.639153324;0;0.524420401;0;0.577790123;0;0;0;0;Sep 30;8;(18240, [1], 32);167.5573089;0;2017-02-01 00:00:00+01:00
2;1_03_3_l-5_d-0.2;{'name': '03_3_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.833793516;0;0.65654996;0;0.543075434;0;0.58648616;0;0;0;0;Apr 30;8;(18240, [1], 32);107.5468411;0;2017-02-01 00:00:00+01:00
3;1_03_4_l-5_l-10;{'name': '03_4_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.700254962;0;0.57991654;0;0.516542078;0;0.580298129;0;0;0;0;18/30;8;(18240, [1], 32);451.3145356;0;2017-02-01 00:00:00+01:00
4;1_03_5_l-5_l-10_d-0.1;{'name': '03_5_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.81274413;0;0.650789808;0;0.547896171;0;0.587757354;0;0;0;0;Mär 30;8;(18240, [1], 32);141.7128084;0;2017-02-01 00:00:00+01:00
5;1_03_6_l-5_l-10_d-0.2;{'name': '03_6_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.729765418;0;0.60435572;0;0.414771821;0;0.518617024;0;0;0;0;Nov 30;8;(18240, [1], 32);328.2488644;0;2017-02-01 00:00:00+01:00
6;1_03_7_l-5_l-15;{'name': '03_7_l-5_l-15', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.699970239;0;0.588611758;0;0.502998375;0;0.561171922;0;0;0;0;20/30;8;(18240, [1], 32);520.8070397;0;2017-02-01 00:00:00+01:00
7;1_03_8_l-5_l-15_d-0.1;{'name': '03_8_l-5_l-15_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.728916787;0;0.606236218;0;0.4370656;0;0.529675863;0;0;0;0;Aug 30;8;(18240, [1], 32);261.2531099;0;2017-02-01 00:00:00+01:00
8;1_03_9_l-5_l-15_d-0.2;{'name': '03_9_l-5_l-15_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.73630322;0;0.608279111;0;0.471345625;0;0.549832435;0;0;0;0;Dez 30;8;(18240, [1], 32);278.6322007;0;2017-02-01 00:00:00+01:00
9;1_03_10_l-5_l-20;{'name': '03_10_l-5_l-20', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0;0.753943698;0;0.622361586;0;0.714948128;0;0.679755579;0;0;0;0;Apr 30;8;(18240, [1], 32);156.5535295;0;2017-02-01 00:00:00+01:00
10;1_03_11_l-5_l-20_d-0.1;{'name': '03_11_l-5_l-20_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.729222754;0;0.60266018;0;0.433779235;0;0.52699188;0;0;0;0;Okt 30;8;(18240, [1], 32);300.4422784;0;2017-02-01 00:00:00+01:00
