;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;model5_1_l-10;{'name': 'model5_1_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.6841557510795788;0.0;0.5602442562138047;0.0;0.16862414592858588;0.0;0.3277636554350357;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 76);14.302589178085327;0.0;[0.8]
1;model5_2_l-10_d-0.1;{'name': 'model5_2_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.6749761355914203;0.0;0.5604219594037871;0.0;0.1879024574680641;0.0;0.3427404650662205;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 76);14.84945297241211;0.0;[0.8]
2;model5_3_l-10_d-0.2;{'name': 'model5_3_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.5607766437451315;0.0;0.49096381947932344;0.0;0.18377824197753823;0.0;0.3385007947978407;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 76);17.277121782302856;0.0;[0.8]
3;model5_4_l-10_l-10;{'name': 'model5_4_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5626350928360437;0.0;0.4932120120698501;0.0;0.15961225943566107;0.0;0.31627426702197237;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 76);24.36410927772522;0.0;[0.8]
4;model5_5_l-10_l-10_d-0.1;{'name': 'model5_5_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.46278249707685415;0.0;0.41830676468031663;0.0;0.1407864475023407;0.0;0.29519601195755574;0.0;0.0;0.0;0.0;10/50;16.0;(16184, [1], 76);38.33761668205261;0.0;[0.8]
5;model5_6_l-10_l-10_d-0.2;{'name': 'model5_6_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.5652374648782614;0.0;0.4936823185316859;0.0;0.17006701228236504;0.0;0.3210575846899854;0.0;0.0;0.0;0.0;5/50;16.0;(16184, [1], 76);24.927284955978394;0.0;[0.8]
6;model5_7_l-10_l-20;{'name': 'model5_7_l-10_l-20', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.4643681497072481;0.0;0.4227482187567447;0.0;0.14516025680200298;0.0;0.29466720456534096;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 76);27.334834814071655;0.0;[0.8]
7;model5_8_l-10_l-20_d-0.1;{'name': 'model5_8_l-10_l-20_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.537195146813694;0.0;0.4728911614462236;0.0;0.13437174831397167;0.0;0.2869354327863986;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 76);26.577462911605835;0.0;[0.8]
8;model5_9_l-10_l-20_d-0.2;{'name': 'model5_9_l-10_l-20_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.6020285724691025;0.0;0.5217570592136996;0.0;0.15695498821021306;0.0;0.3126241964942748;0.0;0.0;0.0;0.0;5/50;16.0;(16184, [1], 76);29.057466506958008;0.0;[0.8]
9;model5_10_l-10_l-50;{'name': 'model5_10_l-10_l-50', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 50, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5768785144113768;0.0;0.49935869391828;0.0;0.17804488737947574;0.0;0.3336227571610177;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 76);26.760888814926147;0.0;[0.8]
