;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;05_1_l-5;{'name': '05_1_l-5', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.0;0.4480585897185129;0.0;0.42583344156829345;0.0;0.2453113723926148;0.0;0.40146432795741577;0.0;0.0;0.0;0.0;3/30;8.0;(18240, [1], 76);95.04593634605408;0.0;2017-02-01 00:00:00+01:00
1;05_2_l-5_d-0.1;{'name': '05_2_l-5_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.4905935157470307;0.0;0.45521981467639927;0.0;0.22291432902943997;0.0;0.37873165208127413;0.0;0.0;0.0;0.0;3/30;8.0;(18240, [1], 76);93.78062319755554;0.0;2017-02-01 00:00:00+01:00
2;05_3_l-5_d-0.2;{'name': '05_3_l-5_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.49762141807928983;0.0;0.459215052642353;0.0;0.2274887607363461;0.0;0.38395956833438394;0.0;0.0;0.0;0.0;6/30;8.0;(18240, [1], 76);130.89740371704102;0.0;2017-02-01 00:00:00+01:00
3;05_4_l-5_l-10;{'name': '05_4_l-5_l-10', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.0;0.4031845851354056;0.0;0.383776896759835;0.0;0.20482696185660498;0.0;0.3643475920288709;0.0;0.0;0.0;0.0;4/30;8.0;(18240, [1], 76);159.7172350883484;0.0;2017-02-01 00:00:00+01:00
4;05_5_l-5_l-10_d-0.1;{'name': '05_5_l-5_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.46115663185921957;0.0;0.4364348042944217;0.0;0.1957805358994703;0.0;0.3497546198696159;0.0;0.0;0.0;0.0;4/30;8.0;(18240, [1], 76);160.72228908538818;0.0;2017-02-01 00:00:00+01:00
5;05_6_l-5_l-10_d-0.2;{'name': '05_6_l-5_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.5102470062745597;0.0;0.46659632266923917;0.0;0.20213809418451173;0.0;0.355557307633653;0.0;0.0;0.0;0.0;3/30;8.0;(18240, [1], 76);144.92781972885132;0.0;2017-02-01 00:00:00+01:00
6;05_7_l-5_l-15;{'name': '05_7_l-5_l-15', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.0;0.4162944251027575;0.0;0.3875763095086114;0.0;0.19164019899663368;0.0;0.3474360429763533;0.0;0.0;0.0;0.0;4/30;8.0;(18240, [1], 76);160.22818112373352;0.0;2017-02-01 00:00:00+01:00
7;05_8_l-5_l-15_d-0.1;{'name': '05_8_l-5_l-15_d-0.1', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.1;0.4330588731850424;0.0;0.40686884121111544;0.0;0.18579306244940022;0.0;0.3428745175336014;0.0;0.0;0.0;0.0;4/30;8.0;(18240, [1], 76);165.95935940742493;0.0;2017-02-01 00:00:00+01:00
8;05_9_l-5_l-15_d-0.2;{'name': '05_9_l-5_l-15_d-0.2', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 15, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.2;0.4497465235227106;0.0;0.42795471092195886;0.0;0.1974490924244093;0.0;0.3546688635751866;0.0;0.0;0.0;0.0;8/30;8.0;(18240, [1], 76);188.10880517959595;0.0;2017-02-01 00:00:00+01:00
9;05_10_l-5_l-20;{'name': '05_10_l-5_l-20', 'layers': [{'type': 'lstm', 'cells': 5, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 8, 'timesteps': 1};0.0;0.4002899495869969;0.0;0.38732700733664005;0.0;0.16911372048024645;0.0;0.3294165608587495;0.0;0.0;0.0;0.0;5/30;8.0;(18240, [1], 76);186.94481110572815;0.0;2017-02-01 00:00:00+01:00
