;model_name;config;dropout;train_loss;train_rmse;train_mae;train_mape;valid_loss;valid_rmse;valid_mae;valid_mape;test_rmse;test_mae;test_mape;epochs;batch_train;input_shape;total_time;time_step;splits
0;model6_1_l-10;{'name': 'model6_1_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5732527398544609;0.0;0.49598269370857656;0.0;0.12984354201114118;0.0;0.28768726858762234;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 77);16.010039806365967;0.0;[0.8]
1;model6_2_l-10_d-0.1;{'name': 'model6_2_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.5213489761421796;0.0;0.46209803644489444;0.0;0.11473355683876146;0.0;0.2697904068644684;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 77);13.345046520233154;0.0;[0.8]
2;model6_3_l-10_d-0.2;{'name': 'model6_3_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.5791777399206265;0.0;0.5017037517834358;0.0;0.13825209621376922;0.0;0.29500296590204284;0.0;0.0;0.0;0.0;2/50;16.0;(16184, [1], 77);16.391603231430054;0.0;[0.8]
3;model6_4_l-10_l-10;{'name': 'model6_4_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.5208643641799449;0.0;0.45936862362735204;0.0;0.11690014601675885;0.0;0.2716000773529015;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 77);24.209482431411743;0.0;[0.8]
4;model6_5_l-10_l-10_d-0.1;{'name': 'model6_5_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.5874160439310174;0.0;0.5047465920890365;0.0;0.1107732760120589;0.0;0.26406010199743923;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 77);28.09287691116333;0.0;[0.8]
5;model6_6_l-10_l-10_d-0.2;{'name': 'model6_6_l-10_l-10_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.5792247669377603;0.0;0.4988830510080229;0.0;0.12365392914576696;0.0;0.27793063289753284;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 77);27.90541982650757;0.0;[0.8]
6;model6_7_l-10_l-20;{'name': 'model6_7_l-10_l-20', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.47251669554055953;0.0;0.42759538219944654;0.0;0.11355034379970909;0.0;0.26608579882448263;0.0;0.0;0.0;0.0;5/50;16.0;(16184, [1], 77);27.394548416137695;0.0;[0.8]
7;model6_8_l-10_l-20_d-0.1;{'name': 'model6_8_l-10_l-20_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.5229071070991539;0.0;0.4631041650498017;0.0;0.13017268760111367;0.0;0.28713629365262416;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 77);23.767895221710205;0.0;[0.8]
8;model6_9_l-10_l-20_d-0.2;{'name': 'model6_9_l-10_l-20_d-0.2', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.2, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 20, 'dropout': 0.2, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.2;0.528824094245475;0.0;0.4611436497737804;0.0;0.1358066530584699;0.0;0.2908837503504635;0.0;0.0;0.0;0.0;4/50;16.0;(16184, [1], 77);24.695995807647705;0.0;[0.8]
9;model6_10_l-10_l-10;{'name': 'model6_10_l-10_l-10', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.0;0.48655564862686784;0.0;0.433384971202746;0.0;0.12783588611032112;0.0;0.28391464065649724;0.0;0.0;0.0;0.0;5/50;16.0;(16184, [1], 77);30.576624870300293;0.0;[0.8]
10;model6_11_l-10_l-10_d-0.1;{'name': 'model6_11_l-10_l-10_d-0.1', 'layers': [{'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': True}, {'type': 'lstm', 'cells': 10, 'dropout': 0.1, 'stateful': True, 'ret_seq': False}], 'batch_size': 16, 'timesteps': 1};0.1;0.6005732128246974;0.0;0.5165286507314746;0.0;0.10425884890287082;0.0;0.2560149567330828;0.0;0.0;0.0;0.0;3/50;16.0;(16184, [1], 77);28.18680763244629;0.0;[0.8]
